0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
15.271,24.42,51.3,47.02,34.81,61.68,51.29,41.52
15.271,25.03,51.91,47.02,35.42,62.29,51.29,42.13
15.271,25.64,51.91,47.02,34.2,62.29,51.29,42.13
14.651,25.03,51.91,47.02,34.2,62.29,51.29,42.13
14.651,25.03,52.52,47.02,33.59,62.29,50.68,42.13
14.651,24.42,52.52,46.41,32.98,62.9,50.68,42.13
14.651,25.03,51.91,47.02,32.98,62.9,50.68,42.13
14.651,24.42,52.52,47.02,32.37,62.9,50.07,42.13
14.651,24.42,53.13,47.02,32.37,62.9,50.07,41.52
14.041,25.03,53.13,46.41,31.76,64.12,50.07,41.52
14.651,25.03,52.52,47.02,31.14,62.9,50.07,42.13
14.651,24.42,53.13,46.41,31.14,63.51,49.46,42.13
14.651,23.81,53.13,46.41,31.14,63.51,49.46,42.13
14.041,25.03,53.74,46.41,30.53,62.9,49.46,42.75
14.041,25.03,53.74,47.02,29.92,63.51,49.46,42.75
14.041,24.42,53.74,47.02,29.92,62.9,48.85,42.75
14.041,25.03,53.74,47.02,29.31,63.51,49.46,42.75
14.041,24.42,54.35,47.02,29.31,63.51,48.85,42.75
14.041,24.42,53.74,47.02,28.7,63.51,48.85,42.75
13.431,25.03,54.35,47.02,28.7,63.51,48.85,42.75
14.041,25.03,54.35,47.02,28.09,64.12,48.24,42.75
14.041,24.42,54.35,46.41,27.48,64.12,48.24,42.13
14.041,24.42,54.35,46.41,27.48,64.12,48.24,42.13
14.041,25.03,54.35,47.02,27.48,64.12,48.24,42.13
14.041,24.42,54.35,47.02,26.87,64.12,48.24,41.52
13.431,25.03,54.35,47.02,26.87,64.12,47.63,41.52
13.431,25.03,54.35,47.02,26.26,64.73,47.63,42.13
13.431,25.64,54.96,47.02,25.65,64.73,47.63,41.52
14.041,25.03,54.96,47.02,26.26,64.12,47.63,42.13
13.431,25.03,54.96,47.02,26.26,64.12,47.02,42.13
13.431,25.03,54.96,47.63,25.65,65.34,47.02,42.13
14.041,25.03,55.57,47.02,25.65,64.73,47.02,42.13
12.821,25.03,55.57,47.02,25.04,64.73,47.02,42.13
13.431,25.64,55.57,47.02,25.04,64.73,47.02,42.75
13.431,25.64,55.57,47.02,25.04,64.73,46.41,42.13
14.041,25.64,56.18,47.63,24.43,64.73,46.41,42.75
14.041,26.25,56.18,47.63,24.43,64.73,46.41,42.75
13.431,26.25,56.18,47.63,25.04,65.34,46.41,42.75
13.431,26.25,56.18,47.63,24.43,65.34,46.41,42.75
13.431,25.64,56.18,47.63,23.82,65.34,45.8,42.75
14.041,26.25,56.79,48.24,23.82,65.34,46.41,42.13
14.041,26.25,56.18,47.63,23.82,65.34,45.8,41.52
13.431,26.25,56.18,47.63,23.82,65.34,45.8,42.13
13.431,26.25,56.79,47.63,24.43,65.95,45.8,42.75
14.041,26.87,56.79,47.63,23.21,65.95,45.8,42.75
14.041,26.87,56.79,47.63,23.82,65.95,45.8,42.13
14.041,26.25,57.4,47.63,23.21,65.95,45.8,41.52
13.431,26.25,56.79,47.63,23.21,65.95,45.8,42.75
14.041,26.25,57.4,47.63,23.21,65.95,45.19,42.13
13.431,26.25,57.4,47.63,23.21,65.95,45.19,42.75
14.041,26.25,57.4,47.02,23.21,66.56,45.19,42.13
14.041,26.25,57.4,47.02,23.21,65.95,45.19,42.75
14.041,26.25,57.4,47.63,23.82,67.17,45.19,43.36
13.431,26.25,57.4,47.63,23.82,65.95,45.19,42.75
14.651,25.64,58.02,47.02,23.21,65.95,45.19,42.75
14.041,26.87,57.4,47.02,23.82,67.17,45.19,43.36
14.041,25.64,58.02,47.63,23.21,66.56,45.19,42.75
14.651,26.87,58.02,47.63,23.21,65.95,45.19,42.75
14.041,26.25,57.4,47.63,23.82,66.56,45.19,42.75
14.041,26.25,58.02,47.02,23.82,66.56,45.19,42.75
14.651,26.25,58.02,47.63,23.82,66.56,44.58,42.75
14.651,27.48,58.02,47.63,23.21,66.56,45.19,43.36
14.041,26.87,58.02,47.63,23.21,66.56,45.19,43.36
14.651,26.87,58.02,48.24,23.82,67.17,44.58,42.75
14.041,27.48,58.63,47.63,23.82,67.17,44.58,43.36
14.651,27.48,58.63,47.63,23.82,66.56,44.58,43.36
14.651,27.48,58.63,48.24,23.21,67.17,45.19,43.36
14.651,27.48,58.63,47.63,23.82,67.17,45.19,43.97
14.651,27.48,59.24,47.63,24.43,67.17,45.19,43.97
15.271,28.09,59.24,47.63,23.82,67.17,45.19,44.58
15.271,28.7,59.24,47.63,23.82,67.17,44.58,44.58
15.271,27.48,59.24,47.63,23.82,66.56,44.58,44.58
15.271,27.48,59.24,47.63,24.43,67.17,44.58,44.58
14.651,27.48,58.63,47.02,24.43,66.56,44.58,44.58
14.651,27.48,59.24,47.63,24.43,67.17,44.58,44.58
15.271,28.09,58.63,47.63,24.43,67.78,44.58,44.58
15.271,27.48,59.24,47.63,24.43,67.78,44.58,45.188
15.271,28.09,59.24,47.02,24.43,67.78,44.58,45.188
15.881,27.48,59.85,47.63,25.04,67.17,44.58,45.188
15.271,28.09,59.24,47.63,25.04,67.17,45.19,45.188
15.881,28.09,59.24,47.63,25.04,67.17,45.19,45.799
15.271,27.48,59.24,47.63,25.04,67.78,44.58,45.188
15.881,27.48,59.85,47.02,25.65,67.78,44.58,45.188
15.881,27.48,59.85,47.02,25.04,67.78,44.58,45.799
15.881,27.48,59.24,47.02,25.04,67.17,44.58,45.799
16.491,28.09,59.85,47.02,25.65,67.78,43.97,45.799
16.491,28.09,59.24,47.63,25.65,67.78,43.97,46.409
15.881,27.48,59.24,47.63,26.26,67.78,43.97,47.02
16.491,28.09,59.85,47.02,25.65,67.78,43.97,45.799
15.881,28.09,59.24,47.02,26.26,67.17,43.97,46.409
16.491,27.48,59.85,47.02,26.26,67.78,43.97,46.409
16.491,27.48,59.85,47.02,26.87,67.17,43.97,46.409
16.491,28.7,59.85,47.63,26.26,67.78,43.97,46.409
17.101,28.09,59.24,45.8,26.87,67.78,43.97,46.409
16.491,29.31,54.35,40.3,26.87,67.17,43.97,46.409
15.881,28.09,53.13,38.47,26.87,67.78,43.97,47.02
15.271,28.09,53.74,39.08,27.48,67.78,43.97,47.02
14.651,28.09,53.74,39.08,27.48,68.4,43.97,47.631
14.651,26.87,54.35,39.69,28.7,65.95,44.58,47.631
14.651,26.25,54.35,39.69,25.04,62.9,44.58,48.241
14.651,26.25,54.35,40.3,22.6,63.51,45.8,49.46
15.271,26.25,54.35,40.3,21.37,64.12,48.24,51.29
14.651,25.64,54.35,40.3,20.76,64.73,49.46,52.52
14.651,25.64,53.74,40.3,20.15,65.34,51.29,53.74
14.651,25.64,53.74,39.69,20.15,65.34,51.9,53.74
14.651,25.64,53.13,39.69,20.76,65.34,52.51,54.35
14.651,25.64,53.13,39.08,20.15,65.34,52.51,53.74
14.651,25.03,52.52,38.47,20.15,65.34,53.13,53.74
14.651,25.64,53.13,37.86,20.15,65.34,52.51,53.74
15.271,25.03,52.52,37.86,20.15,64.73,52.51,53.74
15.271,25.03,52.52,37.25,20.15,63.51,51.9,53.13
15.271,25.03,52.52,36.64,20.15,62.9,51.29,52.52
15.271,25.03,53.13,36.03,20.15,62.29,50.68,51.91
15.271,25.03,51.91,35.42,19.54,62.9,49.46,51.91
15.271,25.03,52.52,35.42,19.54,61.68,48.24,50.68
15.271,24.42,52.52,34.8,19.54,61.68,46.41,50.07
15.271,25.03,51.91,34.19,20.15,61.07,45.8,48.852
15.881,25.03,52.52,33.58,19.54,60.46,43.97,48.241
15.881,25.03,52.52,33.58,19.54,59.85,42.13,46.409
15.881,25.03,53.13,32.36,18.93,59.24,41.52,45.799
16.491,25.03,53.13,32.36,18.93,58.63,39.081,43.97
16.491,24.42,52.52,31.14,19.54,58.01,37.859,43.36
16.491,24.42,53.13,30.53,18.32,58.01,36.638,41.52
16.491,24.42,53.13,30.53,18.32,57.4,35.42,40.91
17.101,25.03,53.13,29.92,18.93,57.4,33.58,38.47
16.491,24.42,53.13,29.31,18.32,56.18,31.75,38.47
17.101,24.42,53.74,28.7,18.32,56.18,30.53,36.64
17.711,24.42,53.74,28.7,18.32,56.18,29.31,34.81
17.711,24.42,53.74,28.7,18.32,56.18,28.09,34.2
17.711,24.42,53.74,27.48,18.32,56.18,27.48,32.98
17.711,25.03,53.74,28.09,18.32,56.18,25.65,31.14
17.711,24.42,53.74,27.48,18.32,55.57,25.04,30.53
18.321,25.03,54.35,27.48,18.32,55.57,24.43,29.92
18.931,24.42,54.35,26.87,18.32,55.57,23.81,28.09
18.321,25.03,54.35,26.87,18.32,55.57,22.59,27.48
18.931,25.03,54.35,26.87,18.93,55.57,21.98,26.87
19.541,24.42,54.96,26.87,18.93,55.57,21.37,26.26
18.931,25.03,54.35,26.87,18.93,55.57,21.37,25.04
19.541,25.03,54.96,26.26,18.93,55.57,20.76,23.82
19.541,25.03,54.96,26.26,19.54,55.57,20.15,23.82
20.151,25.64,55.57,26.26,19.54,56.18,20.15,23.2
20.151,25.64,55.57,26.26,19.54,56.18,20.15,23.2
20.151,25.64,55.57,26.26,18.93,55.57,20.15,22.59
20.151,26.25,54.96,25.64,19.54,55.57,20.15,22.59
20.151,26.25,55.57,25.64,20.15,55.57,20.15,23.2
20.761,25.64,55.57,25.64,19.54,56.18,20.76,23.2
20.761,25.64,56.18,25.03,20.15,56.18,20.15,22.59
20.761,26.25,56.79,25.64,20.76,56.18,20.15,23.2
21.371,26.25,56.79,25.64,20.15,56.79,20.76,22.59
21.371,26.25,56.79,25.64,21.37,55.57,20.76,23.2
21.371,26.87,56.79,25.64,21.37,56.18,20.76,23.2
21.371,26.87,56.79,25.03,21.98,56.18,20.76,23.2
21.371,26.87,56.79,25.64,21.98,55.57,21.37,23.2
21.371,27.48,57.4,26.26,21.98,56.79,21.37,22.59
21.371,27.48,56.79,26.26,21.98,56.18,22.59,23.82
21.981,28.09,58.02,26.26,22.6,56.79,22.59,23.2
21.981,27.48,58.02,26.26,22.6,56.79,23.2,23.82
21.981,27.48,58.02,25.64,23.21,56.18,23.2,23.82
21.981,28.09,58.02,26.26,23.21,57.4,23.81,24.43
22.591,28.09,58.63,25.64,23.82,56.79,24.43,24.43
22.591,28.09,58.63,25.64,23.82,56.79,25.65,25.04
22.591,28.7,58.02,25.64,23.82,56.18,25.65,25.65
22.591,28.7,58.63,25.64,24.43,56.79,26.26,26.26
21.981,28.09,58.02,25.64,24.43,56.79,26.87,26.87
22.591,28.7,58.63,25.64,25.04,56.79,27.48,27.48
21.981,28.7,58.63,26.26,25.65,56.79,28.7,28.09
21.981,28.7,58.63,25.64,25.65,56.18,29.31,28.09
22.591,28.7,59.24,25.03,25.65,56.79,29.92,29.31
21.981,29.31,59.24,25.64,26.26,56.79,30.53,29.31
21.981,29.31,59.24,25.64,26.26,55.57,31.14,29.92
21.981,28.7,59.24,26.26,26.87,56.18,31.75,30.53
21.981,29.31,59.85,26.26,26.87,56.18,31.75,30.53
21.981,29.31,59.85,26.26,26.26,56.18,32.97,31.14
21.981,29.31,59.85,26.26,27.48,56.18,34.2,31.75
22.591,29.31,59.85,25.64,28.09,55.57,34.2,31.75
21.981,29.31,59.85,25.64,28.09,56.18,35.42,32.36
21.981,29.31,59.85,25.64,28.09,55.57,36.03,32.36
21.371,28.7,59.85,25.64,28.7,55.57,37.249,32.98
21.371,28.7,59.85,25.64,28.7,55.57,37.249,33.59
21.981,28.7,60.46,25.64,29.31,56.18,38.47,34.2
21.981,28.7,60.46,25.64,29.31,55.57,39.691,34.81
21.981,28.7,60.46,26.26,29.92,54.96,40.302,34.81
21.981,28.7,60.46,26.26,29.92,55.57,40.91,35.42
21.371,28.7,60.46,26.26,30.53,55.57,41.52,35.42
21.371,28.7,60.46,25.64,29.92,55.57,42.13,36.64
21.371,28.7,60.46,26.26,31.14,55.57,42.74,36.64
20.761,28.7,60.46,25.64,30.53,54.96,43.36,37.25
20.761,28.09,60.46,26.26,31.14,54.96,44.58,37.25
20.761,27.48,61.07,25.64,31.14,54.96,45.19,38.47
20.761,28.7,60.46,25.64,31.76,54.35,45.8,38.47
20.151,28.09,61.07,26.26,31.76,54.35,46.41,38.47
20.761,28.09,61.07,25.64,31.76,54.96,46.41,39.08
20.151,27.48,61.07,26.26,32.37,53.74,47.02,39.69
20.151,28.09,60.46,26.26,32.37,54.35,47.63,39.69
20.761,27.48,61.07,25.64,32.37,54.35,48.24,40.3
20.151,27.48,61.07,25.64,32.37,54.35,48.85,40.3
19.541,26.87,60.46,26.26,32.98,53.74,49.46,40.3
19.541,27.48,60.46,25.64,33.59,54.35,50.07,40.3
19.541,26.87,61.07,26.26,32.98,53.74,50.68,40.91
19.541,26.87,60.46,26.26,33.59,53.74,50.68,41.52
19.541,26.87,60.46,26.26,32.98,53.74,51.29,41.52
19.541,26.87,60.46,25.64,34.2,53.74,51.9,42.13
18.931,26.25,60.46,26.26,33.59,53.74,51.9,42.13
18.931,26.25,60.46,25.64,33.59,53.13,52.51,42.13
18.321,26.25,60.46,26.26,33.59,53.13,52.51,42.13
19.541,25.64,60.46,26.26,33.59,53.13,53.13,42.75
19.541,25.64,59.24,25.64,33.59,53.13,53.74,42.75
20.151,26.25,60.46,26.26,33.59,53.13,53.13,43.36
18.931,25.64,59.85,25.64,34.2,53.13,53.74,43.36
19.541,25.03,59.24,25.64,34.2,52.52,54.35,43.36
19.541,25.03,59.85,25.03,34.2,52.52,54.96,43.36
18.321,25.64,59.85,25.64,34.2,52.52,54.96,43.36
18.321,25.03,59.24,26.26,34.2,51.91,54.96,43.97
18.321,25.64,59.24,25.64,34.2,51.91,55.57,43.97
18.931,24.42,59.85,25.64,34.2,50.69,55.57,44.58
17.711,25.03,59.24,25.03,34.2,51.3,55.57,43.97
17.711,24.42,59.24,25.64,34.2,51.3,55.57,43.97
17.711,23.81,58.63,25.03,34.2,51.3,56.18,43.97
17.101,24.42,58.63,25.03,34.2,51.3,56.18,43.97
17.101,24.42,58.63,25.03,34.2,51.3,56.18,44.58
16.491,23.81,58.63,24.42,33.59,51.3,56.79,44.58
15.881,23.2,58.02,24.42,33.59,51.3,56.79,44.58
15.881,23.2,57.4,24.42,34.2,51.3,56.79,44.58
15.881,22.59,57.4,23.81,32.98,51.3,57.4,44.58
15.271,23.2,58.02,23.81,33.59,50.69,56.79,44.58
15.881,22.59,57.4,23.81,33.59,50.69,56.79,44.58
15.271,22.59,57.4,23.2,33.59,51.3,57.4,44.58
15.271,21.98,58.02,23.2,32.98,50.69,58.01,45.188
15.271,21.98,57.4,22.59,32.98,50.08,58.01,44.58
14.651,21.98,57.4,23.2,32.37,50.69,57.4,44.58
14.651,21.98,56.79,22.59,32.98,50.08,57.4,45.188
14.651,21.37,56.79,22.59,32.37,50.08,58.01,44.58
13.431,21.37,56.79,23.2,32.37,49.47,58.01,44.58
13.431,21.37,56.79,23.2,32.37,50.08,57.4,44.58
13.431,20.76,56.79,22.59,32.37,49.47,58.01,44.58
12.821,20.76,56.18,21.98,31.76,48.85,58.01,44.58
12.821,20.76,56.79,21.98,31.76,49.47,58.01,43.97
12.211,21.37,56.79,21.37,30.53,48.85,57.4,43.97
12.211,20.76,56.18,21.37,30.53,47.63,58.01,43.97
11.601,20.15,55.57,21.37,30.53,48.24,58.01,43.97
11.601,19.54,55.57,20.15,30.53,47.63,57.4,43.36
11.601,19.54,55.57,20.15,29.92,47.63,57.4,43.97
10.991,18.93,55.57,19.54,29.92,47.02,56.79,43.97
10.991,18.93,55.57,19.54,29.92,47.63,58.01,43.97
10.991,18.93,55.57,19.54,29.31,47.02,57.4,43.36
10.381,18.93,54.96,18.93,29.31,47.02,57.4,43.97
9.771,18.93,54.35,18.93,28.7,47.02,57.4,43.36
9.771,18.32,54.96,18.32,28.09,46.41,57.4,43.97
9.161,18.32,54.35,18.32,28.09,46.41,57.4,43.36
9.771,17.71,53.74,17.71,27.48,45.8,56.79,43.97
9.161,17.71,53.74,17.71,26.87,46.41,56.79,43.97
9.161,17.09,54.35,17.71,26.87,46.41,56.79,43.36
8.551,17.71,53.74,17.1,26.26,45.19,56.18,43.36
8.551,17.09,53.13,17.1,26.26,45.19,56.18,43.36
7.941,17.71,53.13,16.49,25.65,45.19,56.18,43.36
7.331,16.48,52.52,16.49,25.65,44.58,56.18,42.75
7.331,16.48,52.52,16.49,25.04,45.19,56.18,42.75
7.331,17.09,52.52,15.87,25.04,44.58,55.57,42.75
6.721,16.48,52.52,14.65,23.82,43.97,55.57,42.75
6.111,16.48,51.91,15.26,23.21,43.97,55.57,42.75
6.111,16.48,51.91,15.26,23.82,43.97,55.57,42.75
5.501,15.87,51.91,15.26,23.21,43.36,54.96,42.13
6.111,15.87,51.3,14.65,22.6,43.36,54.96,42.13
5.501,15.26,50.69,14.04,21.98,42.75,54.96,42.13
5.501,15.87,51.3,14.65,21.98,42.75,53.74,41.52
4.881,15.26,50.69,14.04,20.76,42.14,54.35,40.91
4.881,15.87,50.69,13.432,21.37,42.75,54.35,41.52
4.271,15.26,50.08,13.432,20.15,41.53,53.74,40.91
4.271,15.26,49.47,12.821,19.54,42.14,53.74,40.91
4.881,15.26,49.47,12.211,19.54,41.53,53.74,39.69
3.661,14.65,49.47,12.211,18.93,42.14,52.51,39.69
4.271,14.65,48.86,11.6,18.93,42.14,53.13,40.3
3.661,14.65,48.24,11.6,18.32,41.53,52.51,39.69
3.661,14.04,48.24,10.989,17.71,40.92,52.51,39.69
3.051,14.04,48.24,10.379,17.71,41.53,52.51,39.08
3.051,14.04,48.24,10.379,17.1,40.31,51.9,39.69
3.051,13.43,47.63,9.768,16.49,40.92,51.9,39.08
3.051,14.04,47.63,9.768,15.88,40.92,51.29,39.08
3.051,13.43,47.02,9.16,15.27,39.69,51.29,39.08
2.443,12.82,47.02,9.16,15.27,39.69,51.29,39.08
2.443,13.43,47.02,9.16,14.66,39.69,50.68,38.47
1.832,12.82,46.41,8.55,14.66,40.31,50.07,39.08
1.832,12.82,46.41,7.94,14.05,39.08,50.07,38.47
1.222,12.82,45.8,8.55,13.44,39.08,50.07,38.47
1.222,12.82,45.8,7.94,13.44,39.08,49.46,37.86
1.222,12.82,45.8,7.33,13.44,38.47,48.85,37.86
1.222,12.82,45.19,7.94,12.21,38.47,48.85,37.86
1.832,12.82,44.58,7.33,12.21,37.86,48.85,37.86
1.222,12.82,44.58,7.33,12.21,37.86,48.24,37.86
0.611,12.21,44.58,6.71,11.6,37.86,48.24,37.25
0.611,12.82,43.97,6.71,11.6,37.86,47.63,37.25
0.611,12.21,43.97,6.1,10.99,37.25,47.02,37.25
0.611,12.21,43.97,6.1,10.99,37.25,47.02,36.64
0.611,11.6,43.36,5.49,10.38,37.25,46.41,36.03
0,12.21,42.75,5.49,9.77,36.64,46.41,36.03
0.611,12.21,42.75,4.88,9.77,36.64,46.41,36.03
0.611,12.21,42.75,4.88,9.77,36.03,45.8,35.42
0,11.6,42.75,4.27,9.16,36.03,46.41,35.42
0,11.6,42.14,4.27,9.16,36.03,45.8,34.81
0.611,11.6,42.14,3.66,9.77,36.03,45.19,34.2
0,10.99,41.53,3.66,9.16,36.03,44.58,34.81
-0.61,11.6,41.53,3.66,9.16,35.42,44.58,34.81
-0.61,10.38,40.92,3.05,8.55,35.42,43.97,34.2
-0.61,10.99,40.92,3.05,8.55,35.42,43.97,33.59
-1.221,11.6,40.92,3.05,8.55,34.81,43.36,34.2
-1.221,11.6,40.31,3.05,7.94,34.81,43.36,33.59
-1.221,10.99,40.31,2.44,7.94,34.81,43.36,33.59
-1.221,10.99,40.31,2.44,7.94,34.2,42.74,33.59
-1.829,10.99,40.31,2.44,7.33,33.59,42.74,32.98
-1.829,10.99,39.09,2.44,7.33,34.2,42.13,32.98
-1.221,10.99,39.7,1.22,7.33,33.59,42.13,32.98
-1.829,10.99,39.09,1.83,7.94,33.59,41.52,32.36
-1.829,10.38,39.09,1.83,7.33,32.98,40.91,32.98
-1.829,10.99,38.47,1.22,6.72,33.59,40.91,32.36
-1.829,10.99,38.47,0.61,6.72,32.98,40.302,31.75
-2.439,10.38,37.86,0.61,6.72,32.37,40.302,31.75
-1.829,10.38,38.47,0.61,6.11,32.98,40.302,31.75
-1.829,10.38,37.25,0.61,6.72,31.76,40.302,31.75
-2.439,10.99,37.25,0.61,6.11,32.37,39.691,31.75
-2.439,10.99,36.64,0,6.11,32.37,39.691,30.53
-1.829,10.99,37.25,0,6.11,31.76,38.47,31.14
-1.829,10.38,37.25,0,6.11,31.76,39.081,31.14
-2.439,10.38,36.64,-0.61,6.11,31.15,37.859,30.53
-2.439,10.38,36.032,-1.22,6.11,31.15,37.859,30.53
-3.049,10.38,36.64,-0.61,6.11,31.15,37.859,31.14
-2.439,10.99,35.421,-0.61,5.5,30.54,37.249,29.92
-2.439,10.38,35.421,-1.22,5.5,30.54,36.638,29.92
-2.439,10.99,35.421,-1.22,5.5,30.54,37.249,29.31
-2.439,10.38,35.421,-1.22,5.5,29.92,36.638,29.31
-2.439,10.38,34.811,-1.22,5.5,29.31,36.638,29.31
-2.439,10.38,34.811,-1.22,5.5,29.92,36.03,29.31
-3.049,10.38,34.811,-1.83,4.89,29.92,36.638,29.31
-3.049,10.38,34.2,-1.83,5.5,29.92,36.03,29.31
-2.439,10.38,33.589,-2.44,5.5,29.31,35.42,29.31
-2.439,10.38,33.589,-2.44,4.89,28.7,34.81,28.7
-3.049,10.38,32.979,-2.44,5.5,28.7,34.81,29.31
-2.439,10.38,32.979,-2.44,5.5,28.7,34.81,29.31
-3.049,10.38,32.979,-3.06,5.5,28.09,33.58,29.31
-2.439,9.77,32.979,-3.06,5.5,27.482,34.2,29.31
-2.439,10.38,32.368,-3.67,5.5,28.09,33.58,29.31
-2.439,10.38,31.76,-3.67,5.5,28.09,32.97,28.7
-2.439,10.38,32.368,-3.06,4.89,27.482,32.97,28.7
-1.829,9.77,31.76,-3.67,5.5,27.482,32.36,28.7
-2.439,10.38,31.76,-4.28,4.89,26.871,32.36,28.09
-2.439,10.38,31.76,-3.67,5.5,27.482,32.36,28.09
-2.439,10.99,31.15,-3.06,4.89,26.871,31.75,28.09
-2.439,10.38,31.15,-3.67,4.89,26.871,32.36,28.09
-2.439,10.38,30.54,-3.67,5.5,26.261,31.14,28.09
-2.439,10.99,30.54,-3.67,5.5,26.871,31.75,27.48
-2.439,10.99,30.54,-3.67,4.89,26.261,31.14,27.48
-2.439,10.38,29.93,-3.67,4.89,25.65,30.53,26.87
-3.049,10.99,29.93,-3.67,4.89,25.039,30.53,26.87
-2.439,10.38,29.31,-3.67,5.5,26.261,29.92,26.87
-2.439,10.38,29.31,-4.28,4.89,25.039,29.92,26.87
-2.439,10.38,29.31,-4.28,4.89,24.429,29.92,26.87
-2.439,10.99,28.7,-4.28,5.5,25.039,29.92,26.87
-2.439,10.99,28.09,-4.28,5.5,25.65,29.92,26.87
-2.439,10.38,28.09,-4.28,5.5,25.65,29.92,26.26
-2.439,10.99,27.48,-3.67,5.5,26.261,28.7,26.26
-1.829,11.6,28.09,-4.28,5.5,26.261,29.31,26.26
-2.439,10.99,27.48,-4.28,5.5,26.261,29.31,26.26
-2.439,10.99,26.87,-4.89,5.5,26.261,29.31,26.26
-2.439,10.38,26.87,-4.89,6.11,26.871,28.7,26.26
-2.439,10.99,26.87,-4.28,6.11,26.261,28.7,26.26
-1.829,10.99,26.26,-4.89,5.5,25.65,28.09,25.65
-2.439,11.6,26.26,-4.89,5.5,25.039,28.7,25.65
-1.829,10.99,26.26,-4.89,5.5,24.429,28.09,25.65
-1.829,10.99,26.26,-4.89,6.11,23.818,27.48,25.04
-2.439,10.99,25.65,-4.89,6.11,24.429,27.48,25.65
-2.439,10.99,25.04,-4.89,6.11,23.21,27.48,25.04
-1.829,10.38,25.04,-5.5,5.5,23.21,27.48,25.04
-1.829,10.99,25.04,-5.5,6.11,22.6,27.48,25.04
-1.829,10.99,25.04,-5.5,6.11,22.6,26.87,25.04
-1.829,10.99,24.43,-4.89,5.5,21.99,26.87,25.04
-1.829,11.6,24.43,-4.89,6.11,21.99,26.87,25.04
-1.829,11.6,23.82,-4.89,6.11,21.38,26.26,25.04
-1.829,11.6,24.43,-4.89,6.11,20.76,26.87,25.04
-1.221,10.99,23.82,-4.89,6.72,20.76,26.26,25.65
-1.829,11.6,23.21,-5.5,6.11,20.76,26.26,25.04
-1.221,11.6,23.21,-5.5,6.11,19.54,26.26,25.65
-1.221,10.99,22.6,-5.5,6.11,19.54,25.65,25.04
-1.829,11.6,22.6,-5.5,6.11,20.15,25.65,25.04
-1.221,11.6,22.6,-4.89,6.11,18.93,25.65,25.04
-1.221,11.6,22.6,-5.5,6.11,18.93,25.65,25.04
-0.61,11.6,22.6,-4.89,6.11,18.93,25.04,25.04
-1.221,11.6,21.99,-5.5,6.72,18.93,25.65,25.04
-0.61,10.99,21.99,-5.5,6.11,18.32,25.04,24.43
-0.61,11.6,23.82,-5.5,6.11,18.32,25.04,24.43
0.611,11.6,31.15,7.94,6.11,17.71,24.43,23.82
0,11.6,27.48,10.989,6.72,17.71,25.04,24.43
0,11.6,22.6,9.16,6.72,17.71,25.04,24.43
0,0,0,0,0,0,0,0